date,USD_GBP,USD_EUR,USD_JPY,USD_HKD,USD_AUD
1999-01-04,0.60319,0.84825,113.44,7.7472,1.6202
1999-01-05,0.60407,0.84818,111.08,7.7473,1.6068
1999-01-06,0.60257,0.85157,111.91,7.7501,1.6027
1999-01-07,0.60682,0.8597,111.27,7.7485,1.5882
1999-01-08,0.60846,0.85771,111.58,7.7453,1.5787
1999-01-11,0.60887,0.86438,109.2,7.7496,1.5675
1999-01-12,0.61337,0.86806,112.53,7.747,1.5703
1999-01-13,0.6032,0.8515,112.3,7.7493,1.5855
1999-01-14,0.60602,0.85815,113.91,7.748,1.575
1999-01-15,0.60545,0.86014,113.31,7.75,1.5816
1999-01-18,0.60394,0.86118,114.45,7.7458,1.5753
1999-01-19,0.60262,0.86088,113.76,7.7431,1.575
1999-01-20,0.60596,0.86393,113.68,7.7413,1.5606
1999-01-21,0.6069,0.86415,112.63,7.7469,1.5703
1999-01-22,0.6056,0.86453,114.01,7.7581,1.5756
1999-01-25,0.60333,0.86326,114.03,7.7491,1.5812
1999-01-26,0.60231,0.86341,113.81,7.7541,1.5879
1999-01-27,0.60439,0.86738,114.42,7.75,1.5884
1999-01-28,0.60719,0.87642,115.91,7.75,1.6005
1999-01-29,0.60699,0.87843,116.04,7.747,1.5888
1999-02-01,0.60893,0.88199,115.43,7.7473,1.5772
1999-02-02,0.60757,0.88207,112.64,7.7489,1.5649
1999-02-03,0.61083,0.88207,111.9,7.7511,1.5532
1999-02-04,0.61209,0.88786,113.34,7.7507,1.5574
1999-02-05,0.60972,0.88558,113.31,7.7506,1.5315
1999-02-08,0.61248,0.88921,113.66,7.7489,1.5321
1999-02-09,0.60981,0.88238,114.63,7.7509,1.5484
1999-02-10,0.61312,0.88168,115.26,7.7485,1.549
1999-02-11,0.6166,0.88402,114.35,7.7529,1.5406
1999-02-12,0.61517,0.88936,114.66,7.752,1.5527
1999-02-15,0.61354,0.88984,115.06,7.7492,1.5441
1999-02-16,0.61328,0.89477,117.95,7.749,1.5629
1999-02-17,0.61077,0.88865,118.62,7.7511,1.5774
1999-02-18,0.61173,0.89031,119.66,7.7475,1.5747
1999-02-19,0.61256,0.89582,120.01,7.7534,1.5679
1999-02-22,0.61763,0.90975,121.55,7.7497,1.5681
1999-02-23,0.61956,0.91166,121.38,7.7327,1.563
1999-02-24,0.62363,0.90604,121.28,7.7462,1.5824
1999-02-25,0.62442,0.90654,120.45,7.7478,1.5924
