,us_cpi,us_inflation,us_gdp,us_m2,eu_gdp,uk_cpi,uk_inflation,uk_gdp,uk_m2,jp_cpi,jp_inflation,jp_gdp,jp_m2,hk_cpi,hk_inflation,hk_gdp,au_cpi,au_inflation,au_gdp,au_m2
1999-01-04,76.391102265249,2.18802719697358,9631174489000.0,6496459000000.0,7936107808460.76,80.5159977806547,1.7529508005142,1693458987218.9,932914000000.0,103.366973989437,-0.341296928327554,4635982224063.88,1210357000000000.0,99.5659129154526,-4.00943396226445,165768095391.557,71.2018761536123,1.48313946657267,390347787943.351,431311080600.0
1999-01-05,76.391102265249,2.18802719697358,9631174489000.0,6496459000000.0,7936107808460.76,80.5159977806547,1.7529508005142,1693458987218.9,932914000000.0,103.366973989437,-0.341296928327554,4635982224063.88,1210357000000000.0,99.5659129154526,-4.00943396226445,165768095391.557,71.2018761536123,1.48313946657267,390347787943.351,431311080600.0
1999-01-06,76.391102265249,2.18802719697358,9631174489000.0,6496459000000.0,7936107808460.76,80.5159977806547,1.7529508005142,1693458987218.9,932914000000.0,103.366973989437,-0.341296928327554,4635982224063.88,1210357000000000.0,99.5659129154526,-4.00943396226445,165768095391.557,71.2018761536123,1.48313946657267,390347787943.351,431311080600.0
1999-01-07,76.391102265249,2.18802719697358,9631174489000.0,6496459000000.0,7936107808460.76,80.5159977806547,1.7529508005142,1693458987218.9,932914000000.0,103.366973989437,-0.341296928327554,4635982224063.88,1210357000000000.0,99.5659129154526,-4.00943396226445,165768095391.557,71.2018761536123,1.48313946657267,390347787943.351,431311080600.0
1999-01-08,76.391102265249,2.18802719697358,9631174489000.0,6496459000000.0,7936107808460.76,80.5159977806547,1.7529508005142,1693458987218.9,932914000000.0,103.366973989437,-0.341296928327554,4635982224063.88,1210357000000000.0,99.5659129154526,-4.00943396226445,165768095391.557,71.2018761536123,1.48313946657267,390347787943.351,431311080600.0
1999-01-11,76.391102265249,2.18802719697358,9631174489000.0,6496459000000.0,7936107808460.76,80.5159977806547,1.7529508005142,1693458987218.9,932914000000.0,103.366973989437,-0.341296928327554,4635982224063.88,1210357000000000.0,99.5659129154526,-4.00943396226445,165768095391.557,71.2018761536123,1.48313946657267,390347787943.351,431311080600.0
1999-01-12,76.391102265249,2.18802719697358,9631174489000.0,6496459000000.0,7936107808460.76,80.5159977806547,1.7529508005142,1693458987218.9,932914000000.0,103.366973989437,-0.341296928327554,4635982224063.88,1210357000000000.0,99.5659129154526,-4.00943396226445,165768095391.557,71.2018761536123,1.48313946657267,390347787943.351,431311080600.0
1999-01-13,76.391102265249,2.18802719697358,9631174489000.0,6496459000000.0,7936107808460.76,80.5159977806547,1.7529508005142,1693458987218.9,932914000000.0,103.366973989437,-0.341296928327554,4635982224063.88,1210357000000000.0,99.5659129154526,-4.00943396226445,165768095391.557,71.2018761536123,1.48313946657267,390347787943.351,431311080600.0
1999-01-14,76.391102265249,2.18802719697358,9631174489000.0,6496459000000.0,7936107808460.76,80.5159977806547,1.7529508005142,1693458987218.9,932914000000.0,103.366973989437,-0.341296928327554,4635982224063.88,1210357000000000.0,99.5659129154526,-4.00943396226445,165768095391.557,71.2018761536123,1.48313946657267,390347787943.351,431311080600.0
1999-01-15,76.391102265249,2.18802719697358,9631174489000.0,6496459000000.0,7936107808460.76,80.5159977806547,1.7529508005142,1693458987218.9,932914000000.0,103.366973989437,-0.341296928327554,4635982224063.88,1210357000000000.0,99.5659129154526,-4.00943396226445,165768095391.557,71.2018761536123,1.48313946657267,390347787943.351,431311080600.0
